STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09,WT10
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/1/2014,12.97,2352,0.02,,,,24,14,50,50,21,28,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/2/2014,14.54,1320,0.01,,,,22,5,10,20,23,31.1,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/3/2014,11.63,2020,0,,,,20,-2,190,170,25.1,36,,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/4/2014,12.53,1007,0.2,,,,33,20,220,220,25.1,36,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/5/2014,18.57,2214,0.03,,,,31,-1,310,310,30,38.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/6/2014,17.9,11,0,,,,-1,-15,310,300,29.1,36.9,,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/7/2014,10.07,941,0,,,,5,-11,250,240,18.1,23,,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/8/2014,2.91,1100,0,,,,15,-2,330,320,6.9,8.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/9/2014,4.92,1954,0,,,,29,2,140,140,13,19.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/10/2014,9.62,2221,0.86,,,,42,29,200,210,19.9,25.9,1,1,1,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/11/2014,12.3,1522,0.07,,,,41,31,270,270,21.9,30,1,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/12/2014,15.21,2213,0,,,,44,29,210,220,23.9,36,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/13/2014,12.3,10,0,,,,47,28,210,220,23,29.1,,,,,,,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/14/2014,15.43,1438,0,,,,35,22,260,280,32,42.9,1,,,,,1,,
USW00014819,"CHICAGO MIDWAY AIRPORT, IL US",1/15/2014,11.18,257,0,,,,22,16,290,300,18.1,23.9,,,,,,,,
